SKU,Nombre,Marca,Precio,Precio Lista,Stock
3023705,Blanqueador EKONO pureza cítrica (2000  ml),EKONO,2860,2860,10000
3430342,Detergente en polvo FAB ultra flash (4000  gr),FAB,34725,46300,10000
3430343,Detergente en polvo FAB ultra flash (5000  gr),FAB,39000,52000,10000
1413539,Detergente en polvo ARIEL triple poder ropa blanca y de color (5000  gr),ARIEL,59800,62300,10000
3491790,Detergente líquido EXITO MARCA PROPIA aroma floral (3000  ml),EXITO MARCA PROPIA,11980,12580,10000
263056,Jabón de barra REY original (900  gr),REY,8650,10250,10000
1696433,Detergente líquido BLANCOX protección color limpieza profunda (3800  ml),BLANCOX,20475,40950,10000
3429963,Detergente en polvo FAB ultra flash (2000  gr),FAB,17257,27450,10000
3451457,Blanqueador CLOROX pack limpia y desinfecta (2260  ml),CLOROX,7816,9770,10000
3429202,Detergente líquido FAB ultra flash (3000  ml),FAB,41250,55000,10000
522990,Limpiapisos FABULOSO antibacterial lavanda (2000  ml),FABULOSO,11250,18750,10000
3001782,Detergente líquido ARIEL doble poder concentrado (3700  ml),ARIEL,45350,90700,10000
3433700,Jabón de barra REY líquido original (2  lt),REY,14950,21850,10000
633743,Limpiapisos FABULOSO antibacterial lavanda (5000  ml),FABULOSO,25160,39300,10000
3580565,Detergente en polvo DERSA multiusos bicarbonato + manzana (2000  gr),DERSA,19950,19950,10000
22613,Jabón de barra REY azul (300  gr),REY,2820,3220,10000
1705882,Detergente en polvo EKONO multiusos aroma floral (2800  gr),EKONO,9870,9870,10000
1446696,Detergente líquido ARIEL doble poder concentrado (1200  ml),ARIEL,19462,29250,10000
776539,Limpiapisos FABULOSO antibacterial lavanda (3000  ml),FABULOSO,19480,29150,10000
3015859,Detergente líquido EXITO MARCA PROPIA aroma floral (1000  ml),EXITO MARCA PROPIA,4940,4940,10000
1128330,Blanqueador BLANCOX desinfectante aroma poder natural (3800  ml),BLANCOX,7950,16550,10000
865726,Blanqueador CLOROX original (3800  ml),CLOROX,11190,18650,10000
1712027,Blanqueador CLOROX magia floral (1800  ml),CLOROX,6517,8690,10000
3580574,Detergente en polvo DERSA multiusos bicarbonato (4000  gr),DERSA,38250,38250,10000
3649429,Detergente en polvo FAB blanco impecable (4000  gr),FAB,33937,45550,10000
94836,Detergente en polvo ARIEL triple poder ropa blanca y de color (2000  gr),ARIEL,23065,32950,10000
3429329,Detergente líquido FAB ultra flash vibra concentrado (330  ml),FAB,14175,18900,10000
1753280,Limpiapisos T/L/D TODOS LOS DIAS lavanda (2000  ml),T/L/D TODOS LOS DIAS,4230,4240,10000
3362316,Detergente líquido ARIEL doble poder concentrado (1800  ml),ARIEL,49850,49850,10000
785155,Limpiapisos AJAX bicarbonato naranja limón (2000  ml),AJAX,15337,20450,10000
620281,Desmanchador BLANCOX ropa color líquido (3000  ml),BLANCOX,16612,22150,10000
51617,Blanqueador BLANCOX desinfectante aroma poder natural (2000  ml),BLANCOX,4977,8630,10000
33809,Blanqueador CLOROX gel original (1000  ml),CLOROX,5830,10600,10000
117740,Limpiapisos AJAX bicarbonato naranja limón (3000  ml),AJAX,22680,29250,10000
1705937,Detergente en polvo EKONO multiusos aroma limón (2800  gr),EKONO,9870,9870,10000
802468,Detergente en polvo ARIEL triple poder ropa blanca y de color (4000  gr),ARIEL,37950,56900,10000
3331092,Jabón de barra TOP TERRA bosque tropical eco (690  gr),TOP TERRA,7050,9400,10000
259076,Jabón de barra COCO VARELA original (300  gr),COCO VARELA,4216,5270,10000
3118046,Jabón de barra T/L/D TODOS LOS DIAS líquido azul (1000  ml),T/L/D TODOS LOS DIAS,4450,4450,10000
3567233,Detergente líquido T/L/D TODOS LOS DIAS ultra concentrado + botella (330  ml),T/L/D TODOS LOS DIAS,3795,12650,10000
135915,Limpiapisos FABULOSO antibacterial lavanda (1000  ml),FABULOSO,9550,9550,10000
3429177,Detergente líquido FAB ultra flash (1800  ml),FAB,25462,33950,10000
566445,Blanqueador CLOROX gel lavanda (1000  ml),CLOROX,5472,9950,10000
1624495,Detergente en polvo TOP TERRA ecológico (4000  gr),TOP TERRA,28140,49650,10000
57884,Detergente líquido COCO VARELA coco (1800  ml),COCO VARELA,23512,37400,10000
1757905,Limpiapisos T/L/D TODOS LOS DIAS con bicarbonato cítrico (960  ml),T/L/D TODOS LOS DIAS,2540,2540,10000
667459,Limpiapisos AJAX bicloro poder desinfectante (2000  ml),AJAX,15075,20100,10000
